authorID,institutionID
87769689,8
29405263,3
2123062285,9
1719412,9
2319574187,7
2319226126,11
8650106,7
120187198,9
48883481,8
46506460,3
2427076,7
93584228,10
2153575781,7
49454094,9
2117941801,1
89356020,5
1563693999,11
2226485816,11
48860334,2
2047844,4
46354410,2
2188778449,4
2226475487,1
143967473,11
1764249,2
1702139,11
2110264337,2
2613935,2
2226493959,2
2378027,2
2159642226,6
1738536,10
2115854801,2
3444569,3
2228923747,2
2181109681,7
13027820,2
1865800402,5
2095762,10
144658641,4
153016337,9
2225364164,9
1410071097,11
2225325036,3
2224113717,1
2258772335,1
2267275190,3
2120620052,5
80470531,1
144121289,2
1716508276,9
2243408972,2
50006545,4
2243412243,2
2078203152,6
2159384173,1
2003687008,1
144882464,10
5565754,7
11708863,9
12112205,5
4884356,7
6458651,10
72729174,6
2350447013,6
143819435,11
40470674,3
144101458,4
35802562,1
143849569,1
2345322820,2
2345327280,1
2345322880,8
2345330491,2
2345266364,7
2078909624,11
2345325714,1
1697177,3
32239759,7
67092021,11
2117937034,10
1976425918,11
1974599,5
0,3
36156845,10
119918227,9
47454309,3
46829048,10
2108094216,3
2242118069,3
2249715433,11
2110751949,11
152699208,3
1759658,2
2122929218,1
51238382,3
47829900,1
47653902,11
2181946372,1
2109724398,10
144758045,5
119462164,3
123247135,3
15913738,2
2118689474,2
2105731841,2
2115585545,3
1557487144,2
2047009195,1
115517806,10
2117715807,11
1453104568,6
3914102,1
2204252078,2
4796976,7
4159243,2
2140404141,7
2275501436,1
51273488,3
2274559129,6
2219616129,2
2067184257,4
1435635095,3
3528287,6
2220804070,5
2083368779,1
4815642,11
5777361,6
2151840708,3
31444174,11
1784067,1
121645690,8
143754359,8
2315830,4
120962807,9
2064595436,4
1783184,8
2212084492,10
2109308930,8
152244300,5
23451726,11
40900039,10
2247662718,3
78846919,3
144884116,2
9718992,4
50131730,10
14569224,4
2125366113,6
1714594,1
2189065687,5
7573580,9
47495965,4
2999175,6
1412328163,4
2065671060,11
2151319597,8
144833154,11
1704327,8
9221552,2
1423321194,9
2098723448,5
2347353484,11
2198765822,3
8307959,1
144288618,8
116246793,11
82977131,6
21766681,7
2158670917,3
3483295,1
2057278194,4
2158671047,8
66290347,3
13966665,2
8556033,1
50534993,4
4769205,4
50573337,5
4149364,5
1379511816,6
2058921025,8
1379511786,1
3030006,9
50449165,9
39558258,4
1402195255,3
145337392,8
2445552,4
2091924780,2
2151645335,5
2279449118,5
2279513475,7
2279448452,7
2203839392,8
2150473132,11
2079704411,11
2212887866,3
143787727,4
2209524983,6
2241879633,8
2248150677,1
151349904,6
2241896120,4
75067375,11
2241902744,9
2241896550,3
2241892110,2
2211498935,1
2241896206,4
2241878022,10
2221218808,8
2241889653,10
2241896296,7
32433579,9
4254919,7
1738459585,11
3273326,8
2217843411,2
48354998,5
32474777,9
80967597,10
50706019,1
3488588,11
2126610635,11
123276858,2
4429073,7
9139705,3
50487490,4
1795976,5
2145130787,3
2221641170,2
2117421506,3
2221610051,3
1403852274,1
65953975,2
2076137404,11
2151396257,3
145641941,7
145117122,2
2289857440,3
2181844584,10
2181845410,11
152378504,8
2280373812,9
7441236,2
2778848,7
2253812042,5
35685584,9
25259989,7
16184125,2
2187496179,7
2253535836,2
37122655,4
2168834,10
46596152,10
144404817,9
33955451,2
2334862,1
2693295,4
31411160,10
10999744,11
1414991431,9
143685506,7
101254419,7
98401714,2
2183248673,3
2183247842,11
1735121,5
41205608,7
46287733,3
1684227,3
2735257,11
46223842,11
2952656,8
143929237,1
145359493,10
3256076,11
9998776,8
5290284,1
2149285611,3
1737779229,3
1411115878,3
2186065223,7
144972037,11
1683396,4
2204708967,10
2000639769,7
2155389734,7
2058824340,1
98041740,10
2141037440,9
13398002,4
4494833,3
83976651,3
33688371,2
2205542619,1
2312843354,6
65746336,4
2307805763,3
143923114,6
1810680,6
2321580174,7
145822841,1
81200484,2
51496227,9
145523144,2
2076041163,3
40315563,2
2036654064,3
2205202770,3
2205233755,9
2205195617,1
2205195620,7
2205195054,8
2205233740,1
2205202767,4
2205195081,5
2124975288,8
2028821550,3
2028614047,1
2505751,4
2187839406,2
2187817790,2
1666177745,3
145523800,2
2187816375,6
49411713,10
2187817983,2
1398444286,11
51916788,8
47766095,7
