authorID,name
4429073,P. Krausman
15913738,Changwu Huang
2118689474,Zeqi Zhang
2105731841,Bifei Mao
2115585545,X. Yao
2258772335,Firuz Kamalov
2267275190,David Santandreu Calonge
2120620052,Ikhlaas Gurrib
1759658,D. Zha
2122929218,Zaid Pervaiz Bhat
51238382,Kwei-Herng Lai
47829900,Fan Yang
47653902,Zhimeng Jiang
2181946372,Shaochen Zhong
2109724398,Xia Hu
152378504,Michael R. King
2280373812,chatGPT
153016337,G. Cooper
4815642,C. Haug
5777361,J. Drazen
2319574187,Murali Krishna Pendyala
2319226126,Vishnu Varma Lakkamraju
32433579,Michele Salvagno
4254919,F. Taccone
1738459585,A. Gerli
2198765822,Nafiseh Ghaffar Nia
8307959,E. Kaplanoğlu
144288618,A. Nasab
2151840708,Imran Ahmed
31444174,Gwanggil Jeon
1784067,F. Piccialli
2225364164,Lena Ivannova Ruiz-Rojas
1410071097,Patricia Acosta-Vargas
2225325036,Javier De-Moreta-Llovet
2224113717,Mario González-Rodríguez
119462164,Shakked Noy
123247135,Whitney Zhang
50131730,Lalitkumar K. Vora
14569224,A. Gholap
2125366113,Keshava Jetha
1714594,R. Thakur
2189065687,Hetvi K. Solanki
7573580,Vivek P. Chavda
1697177,Bart Verheij
32239759,M. Wiering
2203839392,Yaganteeswarudu Akkem
2150473132,S. K. Biswas
2079704411,Aruna Varanasi
51273488,Ahmed Al Kuwaiti
2274559129,Khalid Nazer
2219616129,Abdullah Al-Reedy
2067184257,Shaher Z. Al-Shehri
1435635095,A. Al-Muhanna
3528287,A. Subbarayalu
2220804070,Dhoha Al Muhanna
2083368779,Fahad A Al-Muhanna
80470531,M. Dave
144121289,N. Patel
2253812042,Andrew H. Song
35685584,Guillaume Jaume
25259989,Drew F. K. Williamson
16184125,Ming Y. Lu
2187496179,Anurag Vaidya
2253535836,Tiffany R. Miller
37122655,Faisal Mahmood
6485403,David Garcia
7441236,M. Simion
2778848,Christoph Kelp
3273326,Bingbing Fang
2217843411,Jiacheng Yu
48354998,Zhonghao Chen
32474777,A. Osman
80967597,Mohamed Farghali
50706019,I. Ihara
3488588,E. Hamza
2126610635,David W. Rooney
123276858,P. Yap
67092021,F. Jiang
2117937034,Yong Jiang
1976425918,Hui Zhi
1974599,Yi Dong
0,Hao Li
36156845,Sufeng Ma
119918227,Yilong Wang
47454309,Q. Dong
46829048,Haipeng Shen
2108094216,Yongjun Wang
144404817,J. Holland
1379511816,Alejandro Barredo Arrieta
2058921025,Natalia Díaz Rodríguez
9221552,J. Ser
1379511786,Adrien Bennetot
3030006,S. Tabik
50449165,A. Barbado
39558258,S. García
1402195255,S. Gil-Lopez
145337392,D. Molina
2445552,Richard Benjamins
2091924780,Raja Chatila
2098723448,Francisco Herrera
143819435,A. Hosny
40470674,C. Parmar
144101458,John Quackenbush
35802562,L. Schwartz
143849569,H. Aerts
121645690,Sébastien Bubeck
143754359,Varun Chandrasekaran
2315830,Ronen Eldan
120962807,J. Gehrke
2064595436,Eric Horvitz
1783184,Ece Kamar
2212084492,Peter Lee
2109308930,Y. Lee
152244300,Yuan-Fang Li
23451726,Scott M. Lundberg
40900039,Harsha Nori
2247662718,Hamid Palangi
78846919,Marco Tulio Ribeiro
144884116,Yi Zhang
144658641,Tim Miller
2660799,D. Acemoglu
145060981,David Autor
115470805,J. Hazell
2133941,P. Restrepo
46506460,Hanchen Wang
2427076,Tianfan Fu
93584228,Yuanqi Du
2153575781,Wenhao Gao
49454094,Kexin Huang
2117941801,Ziming Liu
89356020,P. Chandak
1563693999,Shengchao Liu
2226485816,Peter Van Katwyk
48860334,Andreea Deac
2047844,Anima Anandkumar
46354410,K. Bergen
2188778449,Carla P. Gomes
2226475487,Shirley Ho
143967473,Pushmeet Kohli
1764249,Joan Lasenby
1702139,J. Leskovec
2110264337,Tie-Yan Liu
2613935,A. Manrai
2226493959,Debora S. Marks
2378027,Bharath Ramsundar
2159642226,Le Song
1738536,Jimeng Sun
2115854801,Jian Tang
3444569,Petar Velickovic
2228923747,Max Welling
2181109681,Linfeng Zhang
13027820,Connor W. Coley
1865800402,Y. Bengio
2095762,M. Zitnik
47495965,Sajid Ali
2999175,Tamer Abuhmed
1412328163,Shaker El-Sappagh
2065671060,Khan Muhammad
2151319597,J. Alonso-Moral
144833154,R. Confalonieri
1704327,Riccardo Guidotti
1423321194,N. Díaz-Rodríguez
116246793,Nithesh Naik
82977131,B. Hameed
21766681,Dasharathraj K. Shetty
2158670917,Dishant Swain
3483295,M. Shah
2057278194,R. Paul
2158671047,Kaivalya Aggarwal
66290347,Sufyan Ibrahim
13966665,Vathsala Patil
8556033,Komal Smriti
50534993,Suyog Shetty
4769205,Bhavan Prasad Rai
50573337,P. Chłosta
4149364,B. Somani
2212887866,Nishith Reddy Mannuru
143787727,Sakib Shahriar
2209524983,Z. A. Teel
2241879633,Ting Wang
2248150677,Brady D. Lund
151349904,Solomon Tijani
2241896120,Chalermchai Oak Pohboon
75067375,Daniel A. Agbaji
2241902744,Joy Alhassan
2241896550,JaKLyn Galley
2241892110,Raana Kousari
2211498935,Lydia Ogbadu-Oladapo
2241896206,Shubham Kumar Saurav
2241878022,Aishwarya Srivastava
2221218808,Sai Priya Tummuru
2241889653,Sravya Uppala
2241896296,Praveenkumar Vaidya
1557487144,Michael Moor
2047009195,Oishi Banerjee
115517806,Zahra F H Abad
2117715807,H. Krumholz
144758045,E. Topol
1453104568,P. Rajpurkar
9079776,Sarah Smith
65953975,D. Gašević
2076137404,G. Siemens
2151396257,Shazia Sadiq
1716508276,Shuroug A. Alowais
2243408972,Sahar S. Alghamdi
50006545,Nada Alsuhebany
2243412243,Tariq Alqahtani
2078203152,Abdulrahman I. Alshaya
2159384173,Sumaya N Almohareb
2003687008,Atheer Aldairem
144882464,Mohammed A. Alrashed
5565754,Khalid Bin saleh
11708863,H. Badreldin
12112205,Majed S Al Yami
4884356,Shmeylan A. Al Harbi
6458651,Abdulkareem M. Albekairy
2345322820,Yuko Harayama
2345327280,Michela Milano
2345322880,Richard Baldwin
2345330491,Céline Antonin
2345266364,Janine Berg
2078909624,Anousheh Karvar
2345325714,Andrew Wyckoff
2168834,H. Crompton
46596152,D. Burke
9139705,Amina Adadi
50487490,M. Berrada
1795976,J. Pavlik
2055911978,Yogesh Kumar
2127070689,Apeksha Koul
2113234020,Ruchika Singla
48761825,M. Ijaz
145641941,Andy Nguyen
145117122,H. Ngo
2289857440,Yvonne Hong
2181844584,Belle Dang
2181845410,Bich-Phuong Thi Nguyen
87769689,Davinder Kaur
29405263,Suleyman Uslu
2123062285,Kaley J. Rittichier
1719412,A. Durresi
2145130787,Lin Chen
2221641170,Yubing Zhang
2117421506,Yunfei Liu
2221610051,Jianmin Hua
1403852274,A. Al-Fatesh
2110751949,Haotian Yu
152699208,Yunyun Guo
2151645335,Ranu Sewada
2279449118,Ashwani Jangid
2279513475,Piyush Kumar
2279448452,Neha Mishra
3914102,Ashish Sarraju
2204252078,Dennis Bruemmer
4796976,E. V. Van Iterson
4159243,L. Cho
2140404141,Fatima Rodriguez
2275501436,Luke Laffin
2347353484,Andrew Cupples
145176257,S. Tan
2125914358,T. P. Pagano
2154602212,R. B. Loureiro
2154603619,F. V. Lisboa
2154601029,R. M. Peixoto
2154607113,Guilherme A. S. Guimarães
2154602325,G. O. R. Cruz
2154697499,Maira M. Araujo
2150338203,L. L. Santos
2154769279,Marco A. S. Cruz
2154930724,E. L. Oliveira
2125905940,Ingrid Winkler
2054769247,E. S. Nascimento
145671619,R. Ratcliff
2196760,P. Sederberg
116140762,Troy A. Smith
40656934,Russ Childers
144188958,Imran Ahmed
50277477,Misbah Ahmad
1798121,Gwanggil Jeon
2004925877,Kevin Bauer
2115032180,Moritz von Zahn
2040528,O. Hinz
38480469,Jacob Metcalf
2175081,E. Moss
29830026,E. A. Watkins
2115875786,Ranjit Singh
21817215,M. C. Elish
2153304253,Fan Zhang
50616282,B. Wicky
3741725,L. Milles
8672839,A. Courbet
150282231,R. Ragotte
35318911,J. Dauparas
2129214534,E. Kinfu
4057419,S. Tipps
1606195617,R. Kibler
4876886,M. Baek
2210247,F. DiMaio
2170143199,X. Li
4684776,L. Carter
2063965257,A. Kang
2290127622,H. Nguyen
143651506,A. Bera
2149577340,D. Baker
72910075,A. Taskiran
71927708,Nil Goksel
1699436,Leo Guelman
1807005,V. C. Müller
145248077,Gijs Huisman
1847835,Jan Kolkmeier
1678537,D. Heylen
2051925251,Yasith S. Perera
1419491976,D. Ratnaweera
1729524617,C. H. Dasanayaka
2934691,C. Abeykoon
145895009,L. Carvalho
1750742,Roberto Martínez Maldonado
2065160088,Yi-Shan Tsai
2620627,L. Markauskaite
2676636,M. Laat
118132321,D. K. Sahel
1577907792,Aishwarya L. Saraswat
2182006961,Saurabh Sharma
28558214,J. Monpara
1400515385,A. D'Souza
66735193,Deepakkumar Mishra
2176082362,K. P. Tryphena
2216899709,Satoru Kawakita
2200053064,Shahid Khan
2216853485,Mohd Azhar
4577727,D. Khatri
2113272819,K. Patel
1968612982,Raghu Raj Singh Thakur
145157171,A. Smirnov
2221506,T. Levashova
34086911,Mohamed Abdelaal
2174733915,Christian Hammacher
2071704751,Harald Schoening
19265487,Malak Abdullah
3209846,Alia Madain
1781328,Y. Jararweh
40588014,C. Chan
2183404500,Louisa H.Y. Tsi
46706351,F. Arndt
2172397207,Chun-Yang Chou
118741672,Ding-Yang Hsu
2212719408,Chun-Hung Chou
3597286,A. Santangeli
2118191495,Yuxuan Chen
4315331,E. Kluen
1816037717,Raviteja Chirumamilla
5798451,J. Tiainen
114724481,J. Loehr
35251370,N. Afzal
2267995,S. Sohn
46963251,S. Abram
2103335341,Christopher G. Scott
2201701,Rajeev Chaudhry
50793079,Hongfang Liu
3252972,I. Kullo
1401391462,Adelaide M. Arruda-Olson
91932391,B. Ljubic
1777205,S. Roychoudhury
2033170,X. Cao
143983412,M. Pavlovski
2060293050,Stefan Obradović
30731299,R. Nair
28331874,Lucas Glass
3844766,Z. Obradovic
48319476,Pei Wang
2318499072,Katroth Balakrishna Maruthiram
2318500968,Ranga Muralikrishna
47744706,Henrik Olsson
2824435,K. Kartasalo
2003315701,N. Mulliqi
2885797,Marco Capuccini
1949614,P. Ruusuvuori
5047312,H. Samaratunga
4530093,B. Delahunt
5710895,C. Lindskog
34800492,E. Janssen
2167698871,A. Blilie
4445262,L. Egevad
1776762,O. Spjuth
48612494,M. Eklund
1829410,Puming Wang
1690341,L. Yang
1492113638,Jintao Li
1699149190,Jinjun Chen
2122826199,Shangqing Hu
6204450,M. Komorowski
143605744,L. Celi
4337300,Omar Badawi
31699747,A. Gordon
35321363,Aldo A. Faisal
1577536005,Bingcong Xue
144554647,Lei Zou
1752733,E. Felten
123796891,Manav Raj
2093183,Robert C. Seamans
2627074,Keeley A. Crockett
1978847746,Edwin Colyer
40477949,Luciano Gerber
40484994,A. Latham
145518106,T. Bosse
144668050,C. Gerritsen
144287490,J. D. Man
116563084,O. O’neill
1784286,Mark Antonius Neerincx
37066124,J. V. D. Waa
2559467,Frank Kaptein
1754414,J. Diggelen
2080586141,B. Swaminathan
38975737,S. Palani
2338001,Subramaniyaswamy Vairavasundaram
1794896,K. Kotecha
2152490619,Vinay Kumar
2963287,Nijat Mehdiyev
2209018,Peter Fettke
40360586,Malik Sallam
47141782,D. Deming
35346035,K. Noray
2297331,D. Hilton
48236249,Y. Sheu
1751596770,C. Magdamo
2215471257,Matthew Miller
2152905305,Sudeshna Das
2971502,D. Blacker
1880815,J. Smoller
2697953,Tobias Gerstenberg
2058930057,Matthew Peterson
144002017,Noah D. Goodman
1953585,D. Lagnado
1763295,J. Tenenbaum
31035595,Tom B. Brown
2056658938,Benjamin Mann
39849748,Nick Ryder
2065894334,Melanie Subbiah
152724169,J. Kaplan
6515819,Prafulla Dhariwal
2072676,Arvind Neelakantan
67311962,Pranav Shyam
144864359,Girish Sastry
119609682,Amanda Askell
144517868,Sandhini Agarwal
1404060687,Ariel Herbert-Voss
2064404342,Gretchen Krueger
103143311,T. Henighan
48422824,R. Child
1992922591,A. Ramesh
2052152920,Daniel M. Ziegler
49387725,Jeff Wu
2059411355,Clemens Winter
144239765,Christopher Hesse
2108828435,Mark Chen
2064673055,Eric Sigler
1380985420,Ma-teusz Litwin
145565184,Scott Gray
1490681878,B. Chess
2115193883,Jack Clark
133740015,Christopher Berner
52238703,Sam McCandlish
38909097,Alec Radford
1701686,I. Sutskever
2698777,Dario Amodei
2799026,Friedrich Burkhard von der Osten
1745256,M. Kirley
41205608,M. Ashok
46287733,Rohit Madan
1684227,Anton Joha
2735257,U. Sivarajah
115045442,Regina Luttrell
145182896,Adrienne A. Wallace
118834200,Christopher J. McCollough
2108624104,Jiyoung Lee
2797270,Carole-Jean Wu
34164013,R. Raghavendra
2633839,Udit Gupta
2064056189,Bilge Acun
2774880,Newsha Ardalani
10995410,Kiwan Maeng
2143339883,Gloria Chang
2136166189,Fiona Aga Behram
2135965594,James Huang
2136168649,Charles Bai
2651556,M. Gschwind
2166477914,Anurag Gupta
40511414,Myle Ott
2136202465,Anastasia Melnikov
2141892759,Salvatore Candido
2146867407,David Brooks
1896604752,Geeta Chauhan
2148656273,Benjamin Lee
2109229857,Hsien-Hsin S. Lee
36535404,Bugra Akyildiz
3146790,Maximilian Balandat
90591458,Joe Spisak
47525570,R. Jain
1747902,M. Rabbat
1775500,K. Hazelwood
2244544,Scott Thiebes
1831278,S. Lins
1697247,A. Sunyaev
145019478,Leilani H. Gilpin
144159726,David Bau
144002190,Ben Z. Yuan
50397921,Ayesha Bajwa
144417360,Michael A. Specter
1735243,Lalana Kagal
2182079774,Bangul Khan
2036663643,Hajira Fatima
2205185230,Ayatullah Qureshi
