paperDOI,citedPaperDOI
635c01476986099adc4ce122bb28ebc6deb46671,29f555d643915471981aaa5b07c3b94bd962329b
635c01476986099adc4ce122bb28ebc6deb46671,f07d5ae0bd63f1600392b6f3b718b78b4de655b8
635c01476986099adc4ce122bb28ebc6deb46671,ad86edb79ac10c85bd437bc9507a498ccb7bc68c
635c01476986099adc4ce122bb28ebc6deb46671,55b59cf4404f121edb15f69c2493c87eb36a5530
635c01476986099adc4ce122bb28ebc6deb46671,6e487e18c2aa3c08232c6167a2a8cb1e99574984
635c01476986099adc4ce122bb28ebc6deb46671,df9ff5a3c7e0b925d703d13fb763c87105ce9d8c
635c01476986099adc4ce122bb28ebc6deb46671,c952722b1261744c87bbfed09eeae4fa68486a50
635c01476986099adc4ce122bb28ebc6deb46671,18a8be054af68439e75a90cef401131e77dc1ae1
635c01476986099adc4ce122bb28ebc6deb46671,ee9acac0d8798fe961b59c7b9f9941f1c7607d34
635c01476986099adc4ce122bb28ebc6deb46671,17dec4292289bfaa1b5342a8719a58b9f88cd4ec
f134abeaf9bfd41f29b97aec675ec31895bf541d,f609bc765bb05b904f744b53cac6a2b96ae79d63
f134abeaf9bfd41f29b97aec675ec31895bf541d,5baa91bb19c7387ecdfa1b5d504014e3c1a29840
f134abeaf9bfd41f29b97aec675ec31895bf541d,e0ac105018b58ed692412a8ef339b46866fa11f3
f134abeaf9bfd41f29b97aec675ec31895bf541d,d7a98e913fbceedbcba53158e7a551428abb33d7
f134abeaf9bfd41f29b97aec675ec31895bf541d,a1e37e17015efc88bf72e7e858523b9dd65ed35c
f134abeaf9bfd41f29b97aec675ec31895bf541d,cc07fc48ce2a381e7f39235cef5fd10b939182c4
f134abeaf9bfd41f29b97aec675ec31895bf541d,3dbe2b18393c34dc30f057949e6d31e3ef6efd90
f134abeaf9bfd41f29b97aec675ec31895bf541d,1e31a13f7bffc62c823e848728d4b1f9e6d483cc
f134abeaf9bfd41f29b97aec675ec31895bf541d,67511d61aa96306687751f56979f15c9fadd9162
f134abeaf9bfd41f29b97aec675ec31895bf541d,de874d08354e2d53aade74c1daeaa9bc9b7e381f
f134abeaf9bfd41f29b97aec675ec31895bf541d,dc1eb76fdd0c39c8e53985a447a5f049f860a7e9
f134abeaf9bfd41f29b97aec675ec31895bf541d,e1ec11a1cb3d9745fb18d3bf74247f95a6663d08
f134abeaf9bfd41f29b97aec675ec31895bf541d,5c45a5d05ac564adb67811eeb9d41d6460c70135
5a5e03c3c8bf5052a99f4631e874b1e608e59319,c4d96dfef7b67ea371354b416d1e458aa65f8177
5a5e03c3c8bf5052a99f4631e874b1e608e59319,c61e47b0b2c91bdd6a539ec25b019ab2f182bf77
5a5e03c3c8bf5052a99f4631e874b1e608e59319,45073ad97f5c0e78b4f7cd80bbe2fd2be02c4c5a
5a5e03c3c8bf5052a99f4631e874b1e608e59319,da9683e826c37a6383c124b5c6cddefcb35ee8fd
5a5e03c3c8bf5052a99f4631e874b1e608e59319,7e27d24bf242671bc32115314d349a53abd5542c
5a5e03c3c8bf5052a99f4631e874b1e608e59319,df5f3ffe15207eb6ae2f00f3ccc818625b9bfbe7
5a5e03c3c8bf5052a99f4631e874b1e608e59319,35409cff64e718c5a73975eaed9768ed3d27caa7
5a5e03c3c8bf5052a99f4631e874b1e608e59319,448172b572745af591f3be00094585ff3841e3fa
5a5e03c3c8bf5052a99f4631e874b1e608e59319,363e72aab77a9914f1aca06a8263b8e397340c91
5a5e03c3c8bf5052a99f4631e874b1e608e59319,8c7ed130efb8dd61213784ec9e88f7681944a40a
5a5e03c3c8bf5052a99f4631e874b1e608e59319,c18ff70a0a0ac21b22e9736ecebc627707924fa7
5a5e03c3c8bf5052a99f4631e874b1e608e59319,10f919b1a5161b560504c225cfb2d1b3a4768f80
5a5e03c3c8bf5052a99f4631e874b1e608e59319,6213914e6340b33f90c395111b187cc93c3e3726
5a5e03c3c8bf5052a99f4631e874b1e608e59319,ba5ddf300290eb699dadab0ae0aed5a67a64816c
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,21248bcc81539e7cd1ef83b3b184768603f6f247
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,c8487e05c5a8a4099f814420df5b41eccc60275e
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,5f5dc5b9a2ba710937e2c413b37b053cd673df02
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,e1ec11a1cb3d9745fb18d3bf74247f95a6663d08
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,9653d5c2c7844347343d073bbedd96e05d52f69b
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,e5e4ea8f08d3a52cc92b9dfe5622d116dbad6166
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,c4b30751fa0e2d9fd1fca925e8e47180a15a3865
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,d049d63ba6fa4c57cdb7334cbc3108fa3add8bb0
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,639206a9a32d91386924f1c94e9760dfb43df72e
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,978f023037d72aefac75cc01a7d37d7f65baa67a
21dff47a4142445f83016da0819ffe6dd2947f66,c56b9e84f113f3e558b1d8fcccf92fbbbf6b5174
21dff47a4142445f83016da0819ffe6dd2947f66,5d35119a1608582bed987df60861765245bdad8e
21dff47a4142445f83016da0819ffe6dd2947f66,4f387e240d9428cb889ef4ccc1858ba2d39920b2
21dff47a4142445f83016da0819ffe6dd2947f66,1bd32735fa93c37577ce25c45ba862ef50d5c3d6
21dff47a4142445f83016da0819ffe6dd2947f66,e56dd32ea2436bdaeef7c64df29b221f013e795e
21dff47a4142445f83016da0819ffe6dd2947f66,25ca87d83b99831af6c75c4f962e63c18f2cd298
21dff47a4142445f83016da0819ffe6dd2947f66,8b6f5784419fcf9c1057e7a3599f030b3723b59b
21dff47a4142445f83016da0819ffe6dd2947f66,fd44d398b2945b4c20da8ec3cc32becd5e08100e
21dff47a4142445f83016da0819ffe6dd2947f66,36ab504f16b6ac49194da43d03171f5d32b80a9f
21dff47a4142445f83016da0819ffe6dd2947f66,d2d79513f32c4d09b6255b18514d7ad07ebf43fe
21dff47a4142445f83016da0819ffe6dd2947f66,82adaf8804222437af2ab6d54d23f77a56631395
21dff47a4142445f83016da0819ffe6dd2947f66,0403275945c0f6d96fb22f69447b70c8967403f1
21dff47a4142445f83016da0819ffe6dd2947f66,906f27ffbe1508f3b3d33dee3dab2d23b69d9505
21dff47a4142445f83016da0819ffe6dd2947f66,e89dfa306723e8ef031765e9c44e5f6f94fd8fda
21dff47a4142445f83016da0819ffe6dd2947f66,007112213ece771be72cbecfd59f048209facabd
21dff47a4142445f83016da0819ffe6dd2947f66,87f40e6f3022adbc1f1905e3e506abad05a9964f
21dff47a4142445f83016da0819ffe6dd2947f66,d1c91fdf066b9195a25626e903ce55765dde0387
7c1933359a6860fe49d15c6353a241763879e81f,b961c79adab366b370785b82edde1a7cca320726
7c1933359a6860fe49d15c6353a241763879e81f,2f260603c47abfe0bfc9baf48fef40733d07d0e9
7c1933359a6860fe49d15c6353a241763879e81f,161e07482a298a126309a09ec93f44929722d3d2
7c1933359a6860fe49d15c6353a241763879e81f,2c9af30480fdd20c9c66dbf2849e045fbfe21547
7c1933359a6860fe49d15c6353a241763879e81f,fd4ea16ce58f623fb3b51da2f3dde01a9f8936d1
7c1933359a6860fe49d15c6353a241763879e81f,697f2f3598057cd17cff7749d768cae0993c6727
7c1933359a6860fe49d15c6353a241763879e81f,d844490ca2edb76c76e1b460b7e84875e4f21b11
7c1933359a6860fe49d15c6353a241763879e81f,1537a94da341031dafeeb303d1597c674376d6f7
7c1933359a6860fe49d15c6353a241763879e81f,cad4e03a11703fa2e9395246611be6477f9c791b
7c1933359a6860fe49d15c6353a241763879e81f,62af64ddfada1300b2953a1b01679e79e83819ef
7c1933359a6860fe49d15c6353a241763879e81f,530a059cb48477ad1e3d4f8f4b153274c8997332
7c1933359a6860fe49d15c6353a241763879e81f,1931f3236ebdab94a05f7c7ef6c8c87edf8b5618
7c1933359a6860fe49d15c6353a241763879e81f,09e72c1ddaa2f5b26f6c3a04583005bddaa030c7
8d020275181c69e5e768c6ffc40e09710a6f54f1,d553d008f643622e87e3ac061226865cad3b2928
8d020275181c69e5e768c6ffc40e09710a6f54f1,5a23a489bb9e742edacc8b8e778b06e1594365d3
8d020275181c69e5e768c6ffc40e09710a6f54f1,5501d00310b06e00351295529498cc684187148d
8d020275181c69e5e768c6ffc40e09710a6f54f1,35285ee3056d32f8ed5bc1fee6c3aa70afadd108
8d020275181c69e5e768c6ffc40e09710a6f54f1,15abedb29536d50afeeec739a25358255cbda3e8
8d020275181c69e5e768c6ffc40e09710a6f54f1,ef10b30de48ce654d435e62594441b5b317f3cda
8d020275181c69e5e768c6ffc40e09710a6f54f1,a9c0d7bad124697e370a1b345508b6bc618a4f64
8d020275181c69e5e768c6ffc40e09710a6f54f1,0fcb79c1bf66786701ebc415a7decfe9b4fbf72a
8d020275181c69e5e768c6ffc40e09710a6f54f1,1ada6fe96d54e9dfbd4fd16016f53bd0b2d3936b
8d020275181c69e5e768c6ffc40e09710a6f54f1,82d9f1db6db43cb61fe4b0b26a489a2e72628675
8d020275181c69e5e768c6ffc40e09710a6f54f1,60eaae8784648ca44c1b6100760ccafad03162ee
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,ec299c4c2398532d785f58ac6f848b43abdbbd78
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,92be425544f1199535bb013bbf3f3e5be567b499
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,0e0718efb66091795b780190132be89ab5e11f05
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,5b7b6eb10da360ada5861dad700d4515003d3f9a
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,983d3fec5c35c6f40f65bf971558be1d36d2bfd7
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,0d926a029483beb8013d8dbe56dc11bf011a03d0
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,21cf704a82f5b0b4ce2a240fb5bf27f59608c12c
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,a8dccd6166646b55680425370c9ae75469eccf0d
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,0709e3eff5e28643977bc7f3e88b8f9c71e25912
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,cef530e1a4b270262e1d17327711d4c59a7d99a5
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,cc137d03d4451effe4ebdd5ef5847578a459edb4
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,e1d2f2a717aa03280126f87c8e5fad695f52bf7c
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,1b32b77718be22ca31c2a0dba709c815e19d4672
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,0092dea11a80448e12930d622208e473215c502b
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,c18ff70a0a0ac21b22e9736ecebc627707924fa7
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,cd8a6a30bb17bd2b39bea9d3b0a5e6c4cd1a0f0c
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,2505152ec54d390fa647928a94dec2b7149a9f47
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,a9bd625a66c8cb1cf6841faaa82862d55debf98f
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,0ff580e9d7f259406122e1426f72c9b4461226c4
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,fce2c50d48d07fc9f83867ac8791d2f5a34eb80d
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,ab7f6628cbbafae1ce994929af2482efbd092d61
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,530a059cb48477ad1e3d4f8f4b153274c8997332
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,21dff47a4142445f83016da0819ffe6dd2947f66
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,e89dfa306723e8ef031765e9c44e5f6f94fd8fda
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,62ce35108ef0a816ba1929223f511c976079a300
b313140bde3d9d8ed96f405674fd243e270104fb,d85d7a205dfdde6cc41f46141756d14348557218
b313140bde3d9d8ed96f405674fd243e270104fb,40b736b8a628504a9463130705f8012d2e5e5560
b313140bde3d9d8ed96f405674fd243e270104fb,2378cf8bb6fb4a9c4cde69d40d423a2b963b78ff
b313140bde3d9d8ed96f405674fd243e270104fb,e0fa5ed16e07ce73be90fd93b98cd240f3995ee7
b313140bde3d9d8ed96f405674fd243e270104fb,e6e87e3fc84ea1393a053d6e90a330c251094c38
b313140bde3d9d8ed96f405674fd243e270104fb,aa12a2375d98ee30b19ad55b66f8cda225eaff1a
