conferenceID,name,type
3bcf77b3-860b-4dd7-84ae-9fe9414c6c6a,Conference on Machine Learning and Systems,conference
37275deb-3fcf-4d16-ae77-95db9899b1f3,IEEE/RJS International Conference on Intelligent RObots and Systems,conference
939c6e1d-0d17-4d6e-8a82-66d960df0e40,International Conference on Learning Representations,conference
d9720b90-d60b-48bc-9df8-87a30b9a60dd,Neural Information Processing Systems,conference
e1afedcc-2543-4f61-b797-bc52344438e7,"International Conference on Social Networks Analysis, Management and Security",conference
67f7f831-711a-43c8-8785-1e09005359b5,International Joint Conference on Artificial Intelligence,conference
316506ad-c672-4283-9b3e-3f126d973e85,SDM,conference
fc0a208c-acb7-47dc-a0d4-af8190e21d29,International Conference on Machine Learning,conference
6fc6b436-90f0-4b58-a339-85aed71b82f7,IEEE Conference on Computational Intelligence and Games,conference
3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,conference
e6904c24-9546-4135-8344-e3999e375558,Network and Distributed System Security Symposium,conference
0adda20e-ff7e-4350-9e45-79895021fd3b,International Conference on Applications and Techniques in Information Security,conference
74f47cf8-2839-4a56-959a-524dd0ed9e3e,International Conference on Extending Database Technology,conference
5aca6456-76d5-4208-84d8-a6b60228b52b,European Conference on Artificial Intelligence,conference
a5b1a3db-6324-4978-85a5-ec777e93ffe6,Interacción,conference
2c231043-8ef3-4598-8710-3355388f3f11,Virtual Worlds,conference
6f55e05d-807c-4cc0-a541-1e89abcc993d,IEEE Global Engineering Education Conference,conference
ca8e29a4-b8d6-469e-a148-2156149cddfb,International Conference on Advanced Learning Technologies,conference
cdc83875-a82d-445c-b097-cbe91afe99a8,"Conference on Fairness, Accountability and Transparency",conference
49361fbb-e471-4e0c-84f5-bc0563760bc8,International Conference on Intelligent Virtual Agents,conference
25710d4b-a2d9-4b6c-9f28-154866d9fbbe,"International Convention on Information and Communication Technology, Electronics and Microelectronics",conference
7251b1b9-e3df-4a35-aa07-816a6473988a,International Conference on Network-Based Information Systems,conference
6c3a9833-5fac-49d3-b7e7-64910bd40b4e,Adaptive Agents and Multi-Agent Systems,conference
79c77f49-24e0-4b61-a1a0-a8ba8f64be00,International Conference on Artificial Intelligence in Education,conference
bdc2e585-4e48-4e36-8af1-6d859763d405,AAAI Conference on Artificial Intelligence,conference
768b87bb-8a18-4d9c-a161-4d483c776bcf,Computer Vision and Pattern Recognition,conference
0925390e-10b4-48f1-9fe4-30fc595c92cb,Advances in Production Management Systems,conference
ace94611-0469-4818-ae70-43bdb8082d73,"AAAI/ACM Conference on AI, Ethics, and Society",conference
b55b50b1-aae7-47a7-b042-8aecc930073d,International Conference on Human Factors in Computing Systems,conference
f9af8000-42f8-410d-a622-e8811e41660a,Conference on Uncertainty in Artificial Intelligence,conference
c9e16b3c-2fdf-4b4c-82bf-5cdf3d3435b7,American Medical Informatics Association Annual Symposium,conference
