journalID,name
7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys
dc8f13a2-4e40-4171-8418-7e5648ecf441,International Journal of Innovative Science and Research Technology
gy4sz19j,Medicine Review (2023)
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,Nature
96018464-22dc-4b5c-a172-c2f4a30ce131,Artificial Intelligence
99823631-94f9-424f-8c7d-e45af666d6b0,Journal of Science Education and Technology
8775599f-4f9a-45f0-900e-7f4de68e6843,Sustainability
8e556baf-a09b-4dd8-a7ef-9f5c2242f6b8,British Dental Journal
f8577c85-ad24-40a3-b6d3-c70fb53037ba,BMC Medical Education
f963a178-be9f-4f29-95bb-0d56a45d63db,International Research Journal of Modernization in Engineering Technology and Science
db36cc4c-07df-41a8-9169-9ace7e520923,Nature Reviews. Cancer
34vor2p0,Computer Science Journal (2024)
82cd90f0-386f-4446-b237-6404c27f6a15,Communications in Computer and Information Science
f46dbd50-8ba0-47aa-9649-1ba237101795,Stroke and vascular neurology
kqef6wn9,Science Review (2023)
7f87a640-6dcc-4e08-8ae5-2bc658a320bd,Frontiers in Education
9e995b6d-f30b-4ab4-a13b-3dc2cc992f47,Nature Network Boston
f59506a8-d8bb-4101-b3d4-c4ac3ed03dad,Science
3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence
vrdz8pib,Medicine Review (2023)
721ed878-9136-408b-b2a3-dce27b9fa39e,Journal of Personalized Medicine
dc31f077-7737-4e33-baa3-bceeff44ec27,New England Journal of Medicine
2135230a-3b24-4b71-9583-60624389377a,IEEE Transactions on Industrial Informatics
1901e811-ee72-4b20-8f7e-de08cd395a10,arXiv.org
5o7qug1f,Science Review (2022)
3c77be64-fcd3-444d-a98d-f563ab841a7e,Pharmaceutics
06afdd0b-0d85-413f-af8a-c3045c12c561,Information Fusion
aa6d27d0-f046-4ee6-af2c-460c46a888d0,Ulster medical journal
dda0a41e-efcd-40e6-87f7-a663355aceb3,Discover Artificial Intelligence
20f49295-6ad9-4d39-ac66-a41cd69f0e19,Frontiers in Surgery
50c199ea-1ec5-4c24-a902-d9ce8d810efa,International Journal of Food and Nutritional Science
1a24ea21-4c37-41d8-9e76-ab802d4afb3e,Engineering applications of artificial intelligence
ad1d0602-07c4-4dc4-843f-06a260a14ecd,Information Development
6fe3a1b3-be8f-4bf7-9b30-d8c9fbf0ecb3,Critical Care
05c98766-3157-44f5-bafb-c585fae8f118,Environmental Chemistry Letters
dce542ed-f32a-410a-9ad0-ce01afb35cde,Journal of Wildlife Management
2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access
j212psjx,Science Magazine (2023)
c16jl8z0,Computer Science Review (2023)
82f7a62b-9747-4f4c-91ad-166f6a317d5d,Education and Information Technologies : Official Journal of the IFIP technical committee on Education
caaf5272-62ff-4d9d-8b6c-d48ec7570104,Cellular and Molecular Bioengineering
e61e15db-fac7-46d9-aa5f-d9c9fdbfea36,Asian Journal of Philosophy
ec4eb1b9-1f22-4d91-8549-4d43155b6faf,Nature Reviews Bioengineering
vh63h5pz,Science Journal (2023)
s7f1pnfx,Computer Science Review (1992)
1f33075e-7bb7-471b-9366-4903f07c2382,Educational Philosophy and Theory
bjt94rom,Computer Science Review (2022)
b4ddf99b-89f6-42b4-8bbc-9bde693530cf,International Journal of Information Management
6be19581-545b-41e7-a4f2-5c5e3a310821,Asian Journal of Psychiatry
027ffd21-ebb0-4af8-baf5-911124292fd0,bioRxiv
ohvt4d7s,Computer Science Journal (2023)
0092570d-0516-4871-8e0f-e1d3b5b5410d,European journal of drug metabolism and pharmacokinetics
5rpqa5fs,Medicine Magazine (2018)
c33b01b0-31b4-470e-a9f9-8432e02c3cb9,Cognitive Sciences
ef485645-f75f-4344-8b9d-3c260e69503b,npj Digital Medicine
d5e5b5e7-54b1-4f53-82fc-4853f3e71c58,medRxiv
47cg3pkx,Business Magazine (2018)
phrrltlg,Computer Science Journal (1992)
izty8rq8,Science Magazine (2021)
75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network
5fdd61c6-de80-41e2-8efd-00e30b6c10a6,Journal of Vascular Surgery
cno2cmey,Psychology Review (1979)
995f308d-b277-4d5d-8d5a-3bc30438c620,American Journal of Medicine
28927fa0-8dca-4082-a7d0-abd989c8ef12,Advancement of science
fa373f62-4acc-47e8-b0b8-0ca4cd4394e6,Ai & Society
21b370ff-cb87-4599-b39a-25cd5a1b03cb,Electronic Markets
1a5c69a0-eb2a-4c17-aade-ef464d085987,Journal of Medical Virology
d0038ebc-00af-421f-9e64-8ee90a6a8f48,Journal of Multilingual and Multicultural Development
lsxhx7fo,Computer Science Review (2013)
x2g4yavo,Computer Science Journal (2020)
e7c556b0-162f-4c48-9d25-fe3c141f984e,Big Data and Cognitive Computing
32c1db91-6674-4787-9fac-8b1f7da96826,Journal of Drug Delivery Science and Technology
kf0boh9n,Computer Science Review (2022)
67517472-2d93-47a6-bd2c-91a930bee4da,Biomedical Materials & Devices
aa0mw6pk,Computer Science Review (2022)
4b85084f-20f0-4592-a3c6-2f38acb5c0b3,Computers & electrical engineering
e2444841-e39a-4f25-9d25-c005ebab0966,Journalism and Mass Communication Educator
c3029305-8a3b-4962-9178-1d75998a1738,Journal of the Chinese Medical Association
53950802-a6d4-46d5-903e-b0efa0c10fd1,International Journal of Artificial Intelligence in Education
c22e7c36-3bfa-43e1-bb7b-edccdea2a780,Journal of machine learning research
a4dc5d55-f9c6-4d56-8149-4693bc28ea25,International Journal of Science Education
1b2d8df8-1828-4470-b6f4-87216a5ce5ed,The Turkish Online Journal of Distance Education
55a07bc8-0342-4747-b03e-c956bbbbc3d6,Current Opinion in Structural Biology
4945b7a6-5666-489e-bbe6-7b839976144c,European Journal of Remote Sensing
9d0f468d-117a-4e63-beae-93f161248b94,Journal of the American Heart Association : Cardiovascular and Cerebrovascular Disease
a9cf1119-283f-4697-9e5e-04bb9c9d1605,American Journal of Bioethics
6a8c0041-d0b7-4e32-b52c-33adef005c7e,Frontiers in Artificial Intelligence
38a622bf-c654-4101-b878-b74d3ba59575,Nano Today
oft4xert,Medicine Review (2023)
0336f7d8-cec6-491d-99fb-acef30a16887,South African Journal of Science
b1aef0b1-58ef-4dd9-aad5-2f40c42e19c4,Annual Review of Biomedical Engineering
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE
b0bd78b2-6591-460e-af71-196409b62e2c,Cancer Research
7758f686-2a47-473d-835c-6784e70a0aac,Nature Chemical Biology
5f5891ba-ed85-4094-beb9-e20ffa99f5be,Ecological Indicators
2jnsvjsw,Engineering Journal (2016)
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,Communications of the ACM
b7eb8d75-98af-4318-996a-4ca126619f3c,Sustainable Energy Technologies and Assessments
3639d55b-36ef-4fa6-97fd-1bdc155f9081,Nature Reviews Physics
357207a3-a4af-4091-822c-75ef52d02fb5,Radiology
051b5306-8f42-4593-88b2-7322fcea7681,British Journal of Haematology
67d1868a-c565-4c74-b02a-7a17039f8f0a,IEEE Consumer Electronics Magazine
9704c32e-4051-4155-95f8-dcb3c01abc51,Interactive Learning Environments
2dzm0rx8,Medicine Journal (2023)
07365b9a-c0ce-4dd3-b93b-a02e1c81e0c6,eLife
5c4aa4f1-8375-43a8-baca-65f24ba81e2b,Journal of Intelligence
58edf7b9-060a-4dd9-a4b5-d7f901a902fb,Diabetes Technology & Therapeutics
6bc10a15-943a-45d8-af37-996d0b52574e,Science of the Total Environment
37f5b9b7-f828-4ae1-a174-45b538cbd4e4,Information Processing & Management
45e2c130-75af-4adc-b867-e355591b045f,The Journal of Legal Studies
