paperDOI;paperTitle;paperAbstract;paperAuthorID;paperAuthorName;conferenceWorkshopID;conferenceWorkshopName;conferenceWorkshopType;conferenceWorkshopEdition;conferenceWorkshopYear;conferenceWorkshopCity;journalID;journalName;jornalYear;jornalVolume;keywords
f134abeaf9bfd41f29b97aec675ec31895bf541d;High-performance medicine: the convergence of human and artificial intelligence;;['144758045'];['E. Topol'];;;;;;;5mk0bhd1;Nature Medicine;2019.0;25;['Computer Science', 'Medicine', 'Artificial Intelligence']
530a059cb48477ad1e3d4f8f4b153274c8997332;Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI;;['1379511816', '2058921025', '9221552', '1379511786', '3030006', '50449165', '39558258', '1402195255', '145337392', '2445552', '2091924780', '2098723448'];['Alejandro Barredo Arrieta', 'Natalia Díaz Rodríguez', 'J. Ser', 'Adrien Bennetot', 'S. Tabik', 'A. Barbado', 'S. García', 'S. Gil-Lopez', 'D. Molina', 'Richard Benjamins', 'Raja Chatila', 'Francisco Herrera'];;;;;;;h4atxzwd;Inf. Fusion;2019.0;58;['Computer Science', 'Artificial Intelligence']
e89dfa306723e8ef031765e9c44e5f6f94fd8fda;Explanation in Artificial Intelligence: Insights from the Social Sciences;;['144658641'];['Tim Miller'];;;;;;;2c457lii;Artif. Intell.;2017.0;267;['Computer Science', 'Artificial Intelligence']
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c;Sparks of Artificial General Intelligence: Early experiments with GPT-4;Artificial intelligence (AI) researchers have been developing and refining large language models (LLMs) that exhibit remarkable capabilities across a variety of domains and tasks, challenging our understanding of learning and cognition. The latest model developed by OpenAI, GPT-4, was trained using an unprecedented scale of compute and data. In this paper, we report on our investigation of an early version of GPT-4, when it was still in active development by OpenAI. We contend that (this early version of) GPT-4 is part of a new cohort of LLMs (along with ChatGPT and Google's PaLM for example) that exhibit more general intelligence than previous AI models. We discuss the rising capabilities and implications of these models. We demonstrate that, beyond its mastery of language, GPT-4 can solve novel and difficult tasks that span mathematics, coding, vision, medicine, law, psychology and more, without needing any special prompting. Moreover, in all of these tasks,;['121645690', '143754359', '2315830', '120962807', '2064595436', '1783184', '2212084492', '2109308930', '152244300', '23451726', '40900039', '2247662718', '78846919', '144884116'];['Sébastien Bubeck', 'Varun Chandrasekaran', 'Ronen Eldan', 'J. Gehrke', 'Eric Horvitz', 'Ece Kamar', 'Peter Lee', 'Y. Lee', 'Yuan-Fang Li', 'Scott M. Lundberg', 'Harsha Nori', 'Hamid Palangi', 'Marco Tulio Ribeiro', 'Yi Zhang'];;;;;;;wjqphmqh;ArXiv;2023.0;abs/2303.12712;['Computer Science']
21dff47a4142445f83016da0819ffe6dd2947f66;Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI);At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the;['9139705', '50487490'];['Amina Adadi', 'M. Berrada'];;;;;;;842l6o46;IEEE Access;2018.0;6;['Computer Science', 'Artificial Intelligence']
4b4279db68b16e20fbc56f9d41980a950191d30a;Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence;From the Publisher: Genetic algorithms are playing an increasingly important role in studies of complex adaptive systems, ranging from adaptive agents in economic theory to the use of machine learning techniques in the design of complex devices such as aircraft turbines and integrated circuits. Adaptation in Natural and Artificial Systems is the book that initiated this field of study, presenting the theoretical foundations and exploring applications. In its most familiar form, adaptation is a biological process, whereby organisms evolve by rearranging genetic material to survive in environments confronting them. In this now classic work, Holland presents a mathematical model that allows for the nonlinearity of such complex interactions. He demonstrates the model's universality by applying it to economics, physiological psychology, game theory, and artificial intelligence and then outlines the way in which this approach modifies the traditional views of mathematical genetics. Initially applying his concepts to simply defined artificial systems;['144404817'];['J. Holland'];;;;;;;71xhzrnr;Computer Science Bulletin (1992.0);1992.0;;['Computer Science', 'Engineering', 'Artificial Intelligence']
f92922a9fe4e6bb603291249796d80d09d1fd9f3;Impact of Artificial Intelligence in Customer Journey;The entire gamut of Customer journey is undergoing a massive transformation due to the rapid advancement of Artificial Intelligence (AI). Leveraging the power of AI , CRM & systems have refined the aspect of how businesses manage and optimize the customer journey. AI-powered systems have significant impact across various stages of the customer lifecycle by use of techniques such as machine learning to empower businesses to use systems that can analyse vast amounts of customer dataset in real-time, enabling them to gain deeper insights in customer behaviours, preferences, & sentiment. The AI-driven techniques help businesses to drive more personalized & targeted marketing campaigns, tailored recommendations, and extend efficient customer service leading ultimately to enhancing customer satisfaction and loyalty. Moreover, AI-powered systems have capabilities of offering predictive analytics which empower businesses to forecast customer behaviours and anticipate their needs. The capabilities help businesses in effective resource optimization and improve efficiency. For;['2319574187', '2319226126'];['Murali Krishna Pendyala', 'Vishnu Varma Lakkamraju'];;;;;;;eodvsxkz;International Journal of Innovative Science and Research Technology (IJISRT);2024.0;13;['Artificial Intelligence']
2633a948f06a02417a39c9ff4e9c948bbad460d7;Artificial Intelligence and the Future of Work;;['2345322820', '2345327280', '2345322880', '2345330491', '2345266364', '2078909624', '2345325714'];['Yuko Harayama', 'Michela Milano', 'Richard Baldwin', 'Céline Antonin', 'Janine Berg', 'Anousheh Karvar', 'Andrew Wyckoff'];;;;;;;gzhnzlvk;Computer Science Journal (2024.0);2024.0;59;['Computer Science', 'Artificial Intelligence']
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d;ARTIFICIAL INTELLIGENCE FOR THE REAL WORLD;;['7487965'];['Emily Garcia'];;;;;;;aiqlg65w;International Research Journal of Modernization in Engineering Technology and Science;2023.0;50;['Artificial Intelligence']
e1d2f2a717aa03280126f87c8e5fad695f52bf7c;Explainable Artificial Intelligence (XAI);Explainable Artificial Intelligence (XAI) has emerged as a critical facet in the realm of machine learning and artificial intelligence, responding to the increasing complexity of models, particularly deep neural networks, and the subsequent need for transparent decision making processes. This research paper delves into the essence of XAI, unraveling its significance across diverse domains such as healthcare, finance, and criminal justice. As a countermeasure to the opacity of intricate models, the paper explores various XAI methods and techniques, including LIME and SHAP, weighing their interpretability against computational efficiency and accuracy. Through an examination of real-world applications, the research elucidates how XAI not only enhances decision-making processes but also influences user trust and acceptance in AI systems. However, the paper also scrutinizes the delicate balance between interpretability and performance, shedding light on instances where the pursuit of accuracy may compromise explain-ability. Additionally, it navigates through the current challenges and limitations in;['2151645335', '2279449118', '2279513475', '2279448452'];['Ranu Sewada', 'Ashwani Jangid', 'Piyush Kumar', 'Neha Mishra'];;;;;;;r2zogil9;international journal of food and nutritional sciences;2023.0;49;['Artificial Intelligence']
