"paperId","publicationVenue","title","abstract","venue","year","citationCount","fieldsOfStudy","publicationTypes","publicationDate","journal","authors"
"f134abeaf9bfd41f29b97aec675ec31895bf541d","{'id': '9e995b6d-f30b-4ab4-a13b-3dc2cc992f47', 'name': 'Nature Network Boston', 'type': 'journal', 'alternate_names': ['Nat Netw Boston', 'Nat Med', 'Nature Medicine'], 'issn': '1744-7933', 'alternate_issns': ['1078-8956'], 'url': 'https://www.nature.com/nature/articles?code=archive_news', 'alternate_urls': ['http://www.nature.com/news', 'http://www.nature.com/nm/', 'http://www.nature.com/nm/index.html']}","High-performance medicine: the convergence of human and artificial intelligence","","Nature Network Boston","2019","3934","['Computer Science', 'Medicine']","['Review', 'JournalArticle']","2019-01-01","{'name': 'Nature Medicine', 'pages': '44 - 56', 'volume': '25'}","[{'authorId': '144758045', 'name': 'E. Topol'}]"
"530a059cb48477ad1e3d4f8f4b153274c8997332","{'id': '06afdd0b-0d85-413f-af8a-c3045c12c561', 'name': 'Information Fusion', 'type': 'journal', 'alternate_names': ['Inf Fusion'], 'issn': '1566-2535', 'url': 'https://www.journals.elsevier.com/information-fusion', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/15662535']}","Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI","","Information Fusion","2019","5685","['Computer Science']","['JournalArticle', 'Review']","2019-10-22","{'name': 'Inf. Fusion', 'pages': '82-115', 'volume': '58'}","[{'authorId': '1379511816', 'name': 'Alejandro Barredo Arrieta'}, {'authorId': '2058921025', 'name': 'Natalia Díaz Rodríguez'}, {'authorId': '9221552', 'name': 'J. Ser'}, {'authorId': '1379511786', 'name': 'Adrien Bennetot'}, {'authorId': '3030006', 'name': 'S. Tabik'}, {'authorId': '50449165', 'name': 'A. Barbado'}, {'authorId': '39558258', 'name': 'S. García'}, {'authorId': '1402195255', 'name': 'S. Gil-Lopez'}, {'authorId': '145337392', 'name': 'D. Molina'}, {'authorId': '2445552', 'name': 'Richard Benjamins'}, {'authorId': '2091924780', 'name': 'Raja Chatila'}, {'authorId': '2098723448', 'name': 'Francisco Herrera'}]"
"e89dfa306723e8ef031765e9c44e5f6f94fd8fda","{'id': '96018464-22dc-4b5c-a172-c2f4a30ce131', 'name': 'Artificial Intelligence', 'type': 'journal', 'alternate_names': ['Artif Intell'], 'issn': '0004-3702', 'alternate_issns': ['2633-1403', '2710-1673', '2710-1681'], 'url': 'http://www.elsevier.com/locate/artint', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/00043702', 'https://www.journals.elsevier.com/artificial-intelligence']}","Explanation in Artificial Intelligence: Insights from the Social Sciences","","Artificial Intelligence","2017","4013","['Computer Science']","['JournalArticle', 'Review']","2017-06-22","{'name': 'Artif. Intell.', 'pages': '1-38', 'volume': '267'}","[{'authorId': '144658641', 'name': 'Tim Miller'}]"
"8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c","{'id': '1901e811-ee72-4b20-8f7e-de08cd395a10', 'name': 'arXiv.org', 'alternate_names': ['ArXiv'], 'issn': '2331-8422', 'url': 'https://arxiv.org'}","Sparks of Artificial General Intelligence: Early experiments with GPT-4","Artificial intelligence (AI) researchers have been developing and refining large language models (LLMs) that exhibit remarkable capabilities across a variety of domains and tasks, challenging our understanding of learning and cognition. The latest model developed by OpenAI, GPT-4, was trained using an unprecedented scale of compute and data. In this paper, we report on our investigation of an early version of GPT-4, when it was still in active development by OpenAI. We contend that (this early version of) GPT-4 is part of a new cohort of LLMs (along with ChatGPT and Google's PaLM for example) that exhibit more general intelligence than previous AI models. We discuss the rising capabilities and implications of these models. We demonstrate that, beyond its mastery of language, GPT-4 can solve novel and difficult tasks that span mathematics, coding, vision, medicine, law, psychology and more, without needing any special prompting. Moreover, in all of these tasks, GPT-4's performance is strikingly close to human-level performance, and often vastly surpasses prior models such as ChatGPT. Given the breadth and depth of GPT-4's capabilities, we believe that it could reasonably be viewed as an early (yet still incomplete) version of an artificial general intelligence (AGI) system. In our exploration of GPT-4, we put special emphasis on discovering its limitations, and we discuss the challenges ahead for advancing towards deeper and more comprehensive versions of AGI, including the possible need for pursuing a new paradigm that moves beyond next-word prediction. We conclude with reflections on societal influences of the recent technological leap and future research directions.","arXiv.org","2023","2713","['Computer Science']","['JournalArticle']","2023-03-22","{'name': 'ArXiv', 'volume': 'abs/2303.12712'}","[{'authorId': '121645690', 'name': 'Sébastien Bubeck'}, {'authorId': '143754359', 'name': 'Varun Chandrasekaran'}, {'authorId': '2315830', 'name': 'Ronen Eldan'}, {'authorId': '120962807', 'name': 'J. Gehrke'}, {'authorId': '2064595436', 'name': 'Eric Horvitz'}, {'authorId': '1783184', 'name': 'Ece Kamar'}, {'authorId': '2212084492', 'name': 'Peter Lee'}, {'authorId': '2109308930', 'name': 'Y. Lee'}, {'authorId': '152244300', 'name': 'Yuan-Fang Li'}, {'authorId': '23451726', 'name': 'Scott M. Lundberg'}, {'authorId': '40900039', 'name': 'Harsha Nori'}, {'authorId': '2247662718', 'name': 'Hamid Palangi'}, {'authorId': '78846919', 'name': 'Marco Tulio Ribeiro'}, {'authorId': '144884116', 'name': 'Yi Zhang'}]"
"21dff47a4142445f83016da0819ffe6dd2947f66","{'id': '2633f5b2-c15c-49fe-80f5-07523e770c26', 'name': 'IEEE Access', 'type': 'journal', 'issn': '2169-3536', 'url': 'http://www.ieee.org/publications_standards/publications/ieee_access.html', 'alternate_urls': ['http://ieeexplore.ieee.org/servlet/opac?punumber=6287639']}","Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)","At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.","IEEE Access","2018","3601","['Computer Science']","['JournalArticle', 'Review']","2018-09-17","{'name': 'IEEE Access', 'pages': '52138-52160', 'volume': '6'}","[{'authorId': '9139705', 'name': 'Amina Adadi'}, {'authorId': '50487490', 'name': 'M. Berrada'}]"
"4b4279db68b16e20fbc56f9d41980a950191d30a","","Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence","From the Publisher:  Genetic algorithms are playing an increasingly important role in studies of complex adaptive systems, ranging from adaptive agents in economic theory to the use of machine learning techniques in the design of complex devices such as aircraft turbines and integrated circuits. Adaptation in Natural and Artificial Systems is the book that initiated this field of study, presenting the theoretical foundations and exploring applications.  In its most familiar form, adaptation is a biological process, whereby organisms evolve by rearranging genetic material to survive in environments confronting them. In this now classic work, Holland presents a mathematical model that allows for the nonlinearity of such complex interactions. He demonstrates the model's universality by applying it to economics, physiological psychology, game theory, and artificial intelligence and then outlines the way in which this approach modifies the traditional views of mathematical genetics.  Initially applying his concepts to simply defined artificial systems with limited numbers of parameters, Holland goes on to explore their use in the study of a wide range of complex, naturally occuring processes, concentrating on systems having multiple factors that interact in nonlinear ways. Along the way he accounts for major effects of coadaptation and coevolution: the emergence of building blocks, or schemata, that are recombined and passed on to succeeding generations to provide, innovations and improvements.  John H. Holland is Professor of Psychology and Professor of Electrical Engineering and Computer Science at the University of Michigan. He is also Maxwell Professor at the Santa Fe Institute and isDirector of the University of Michigan/Santa Fe Institute Advanced Research Program.","","1992","40093","['Computer Science', 'Engineering']","","1992-05-01","{'name': '', 'volume': ''}","[{'authorId': '144404817', 'name': 'J. Holland'}]"
"f92922a9fe4e6bb603291249796d80d09d1fd9f3","{'id': 'dc8f13a2-4e40-4171-8418-7e5648ecf441', 'name': 'International Journal of Innovative Science and Research Technology', 'type': 'journal', 'alternate_names': ['Int J Innov Sci Res Technol'], 'issn': '2456-2165', 'url': 'https://ijisrt.com/'}","Impact of Artificial Intelligence in Customer Journey","The entire gamut of Customer journey is undergoing a massive transformation due to the rapid advancement of Artificial Intelligence (AI). Leveraging the power of AI , CRM & systems have refined the aspect of how businesses manage and optimize the customer journey. AI-powered systems have significant impact across various stages of the customer lifecycle by use of techniques such as machine learning to empower businesses to use systems that can analyse vast amounts of customer dataset in real-time, enabling them to gain deeper insights in customer behaviours, preferences, & sentiment. The AI-driven techniques help businesses to drive more personalized & targeted marketing campaigns, tailored recommendations, and extend efficient customer service leading ultimately to enhancing customer satisfaction and loyalty. Moreover, AI-powered systems have capabilities of offering predictive analytics which empower businesses to forecast customer behaviours and anticipate their needs. The capabilities help businesses in effective resource optimization and improve efficiency. For customer service AI-powered chatbots and virtual assistants are used to enhance engagement by providing instant responses and ability to handle resolving issues promptly.","International Journal of Innovative Science and Research Technology","2024","207","","['JournalArticle']","2024-09-03","{'name': 'International Journal of Innovative Science and Research Technology (IJISRT)'}","[{'authorId': '2319574187', 'name': 'Murali Krishna Pendyala'}, {'authorId': '2319226126', 'name': 'Vishnu Varma Lakkamraju'}]"
"2633a948f06a02417a39c9ff4e9c948bbad460d7","","Artificial Intelligence and the Future of Work","","Reflections on Artificial Intelligence for Humanity","2024","69","['Computer Science']","['JournalArticle']","2024-05-18","{'pages': '53-67'}","[{'authorId': '2345322820', 'name': 'Yuko Harayama'}, {'authorId': '2345327280', 'name': 'Michela Milano'}, {'authorId': '2345322880', 'name': 'Richard Baldwin'}, {'authorId': '2345330491', 'name': 'Céline Antonin'}, {'authorId': '2345266364', 'name': 'Janine Berg'}, {'authorId': '2078909624', 'name': 'Anousheh Karvar'}, {'authorId': '2345325714', 'name': 'Andrew Wyckoff'}]"
"7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d","{'id': 'f963a178-be9f-4f29-95bb-0d56a45d63db', 'name': 'International Research Journal of Modernization in Engineering Technology and Science', 'type': 'journal', 'alternate_names': ['Int Res J Mod Eng Technol Sci'], 'issn': '2582-5208'}","ARTIFICIAL INTELLIGENCE FOR THE REAL WORLD","","International Research Journal of Modernization in Engineering Technology and Science","2023","662","","['JournalArticle']","2023-07-03","{'name': 'International Research Journal of Modernization in Engineering Technology and Science'}","[]"
"e1d2f2a717aa03280126f87c8e5fad695f52bf7c","{'id': '50c199ea-1ec5-4c24-a902-d9ce8d810efa', 'name': 'International Journal of Food and Nutritional Science', 'type': 'journal', 'alternate_names': ['International Journal of Food and Nutritional Sciences', 'Int j food nutr sci', 'International journal of food and nutrition science', 'Int J Food Nutr Sci'], 'issn': '2377-0619', 'alternate_issns': ['2165-5308', '2319-1775'], 'url': 'http://www.ommegaonline.com/form/journal-10-International%20Journal%20of%20Food%20and%20Nutritional%20Science', 'alternate_urls': ['https://www.ijfans.com/']}","Explainable Artificial Intelligence (XAI)","Explainable Artificial Intelligence (XAI) has emerged as a critical facet in the realm of machine learning and artificial intelligence, responding to the increasing complexity of models, particularly deep neural networks, and the subsequent need for transparent decision making processes. This research paper delves into the essence of XAI, unraveling its significance across diverse domains such as healthcare, finance, and criminal justice. As a countermeasure to the opacity of intricate models, the paper explores various XAI methods and techniques, including LIME and SHAP, weighing their interpretability against computational efficiency and accuracy. Through an examination of real-world applications, the research elucidates how XAI not only enhances decision-making processes but also influences user trust and acceptance in AI systems. However, the paper also scrutinizes the delicate balance between interpretability and performance, shedding light on instances where the pursuit of accuracy may compromise explain-ability. Additionally, it navigates through the current challenges and limitations in XAI, the regulatory landscape surrounding AI explain-ability, and offers insights into future trends and directions, fostering a comprehensive understanding of XAI's present state and future potential.","International Journal of Food and Nutritional Science","2023","654","","['JournalArticle']","2023-10-26","{'name': 'international journal of food and nutritional sciences'}","[{'authorId': '2151645335', 'name': 'Ranu Sewada'}, {'authorId': '2279449118', 'name': 'Ashwani Jangid'}, {'authorId': '2279513475', 'name': 'Piyush Kumar'}, {'authorId': '2279448452', 'name': 'Neha Mishra'}]"
