"paperId","publicationVenue","title","abstract","venue","year","citationCount","fieldsOfStudy","publicationTypes","publicationDate","journal","authors"
"ccca203382e5dd198c089a0f1d7af7bef0f694e9","{'id': '0cc484fd-832a-417b-9c05-01adc7f7c74f', 'name': 'Molecular Plant', 'type': 'journal', 'alternate_names': ['Mol Plant'], 'issn': '1674-2052', 'url': 'https://www.cell.com/molecular-plant/home', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/16742052']}","TBtools - an integrative toolkit developed for interactive analyses of big biological data.","","Molecular Plant","2020","7419","['Medicine', 'Biology']","['JournalArticle']","2020-06-22","{'name': 'Molecular plant'}","[{'authorId': '2145774899', 'name': 'Chengjie Chen'}, {'authorId': '2149052058', 'name': 'Hao Chen'}, {'authorId': '2153911296', 'name': 'Yi Zhang'}, {'authorId': '40451574', 'name': 'Hannah R Thomas'}, {'authorId': '143915524', 'name': 'Margaret H. Frank'}, {'authorId': '4098270', 'name': 'Yehua He'}, {'authorId': '144304984', 'name': 'Rui Xia'}]"
"91b63db746becca15090963a8990dfe2b5103799","","Big data: The next frontier for innovation, competition, and productivity","The amount of data in our world has been exploding, and analyzing large data sets—so-called big data— will become a key basis of competition, underpinning new waves of productivity growth, innovation, and consumer surplus, according to research by MGI and McKinsey's Business Technology Office. Leaders in every sector will have to grapple with the implications of big data, not just a few data-oriented managers. The increasing volume and detail of information captured by enterprises, the rise of multimedia, social media, and the Internet of Things will fuel exponential growth in data for the foreseeable future.","","2011","5601","['Business']","","2011-05-13","{'name': '', 'volume': ''}","[{'authorId': '144605904', 'name': 'J. Manyika'}]"
"f117c6f12d067bd66dad40996b3931c069daa2da","","Business Intelligence and Analytics: From Big Data to Big Impact","Business intelligence and analytics (BI&A) has emerged as an important area of study for both practitioners and researchers, reflecting the magnitude and impact of data-related problems to be solved in contemporary business organizations. This introduction to the MIS Quarterly Special Issue on Business Intelligence Research first provides a framework that identifies the evolution, applications, and emerging research areas of BI&A. BI&A 1.0, BI&A 2.0, and BI&A 3.0 are defined and described in terms of their key characteristics and capabilities. Current research in BI&A is analyzed and challenges and opportunities associated with BI&A research and education are identified. We also report a bibliometric study of critical BI&A publications, researchers, and research topics based on more than a decade of related academic and industry publications. Finally, the six articles that comprise this special issue are introduced and characterized in terms of the proposed BI&A research framework.","MIS Q.","2012","5375","['Computer Science', 'Engineering']","['JournalArticle']","2012-12-01","{'name': 'MIS Q.', 'pages': '1165-1188', 'volume': '36'}","[{'authorId': '47666658', 'name': 'Hsinchun Chen'}, {'authorId': '145802082', 'name': 'R. Chiang'}, {'authorId': '1764975', 'name': 'V. Storey'}]"
"bf5a42b53d156c0811e88e60d2a49f9fd9367cae","{'id': '50d67c12-b49a-4957-963e-92cfbb2a86a2', 'name': 'Harvard Business Review', 'type': 'journal', 'alternate_names': ['Harv Bus Rev'], 'issn': '0017-8012', 'alternate_issns': ['0717-9952'], 'url': 'https://hbr.org/'}","Big data: the management revolution.","Big data, the authors write, is far more powerful than the analytics of the past. Executives can measure and therefore manage more precisely than ever before. They can make better predictions and smarter decisions. They can target more-effective interventions in areas that so far have been dominated by gut and intuition rather than by data and rigor. The differences between big data and analytics are a matter of volume, velocity, and variety: More data now cross the internet every second than were stored in the entire internet 20 years ago. Nearly real-time information makes it possible for a company to be much more agile than its competitors. And that information can come from social networks, images, sensors, the web, or other unstructured sources. The managerial challenges, however, are very real. Senior decision makers have to learn to ask the right questions and embrace evidence-based decision making. Organizations must hire scientists who can find patterns in very large data sets and translate them into useful business information. IT departments have to work hard to integrate all the relevant internal and external sources of data. The authors offer two success stories to illustrate how companies are using big data: PASSUR Aerospace enables airlines to match their actual and estimated arrival times. Sears Holdings directly analyzes its incoming store data to make promotions much more precise and faster.","Harvard Business Review","2012","4271","['Computer Science', 'Medicine']","['JournalArticle']","2012-10-01","{'name': 'Harvard business review', 'pages': '\n          60-6, 68, 128\n        ', 'volume': '90 10'}","[{'authorId': '3132693', 'name': 'Andrew P. McAfee'}, {'authorId': '2841157', 'name': 'Erik Brynjolfsson'}]"
"4b06c7e29280b1c6bc05c9df39023b48fef02c93","{'id': '1901e811-ee72-4b20-8f7e-de08cd395a10', 'name': 'arXiv.org', 'alternate_names': ['ArXiv'], 'issn': '2331-8422', 'url': 'https://arxiv.org'}","Escaping the Big Data Paradigm with Compact Transformers","With the rise of Transformers as the standard for language processing, and their advancements in computer vision, there has been a corresponding growth in parameter size and amounts of training data. Many have come to believe that because of this, transformers are not suitable for small sets of data. This trend leads to concerns such as: limited availability of data in certain scientific domains and the exclusion of those with limited resource from research in the field. In this paper, we aim to present an approach for small-scale learning by introducing Compact Transformers. We show for the first time that with the right size, convolutional tokenization, transformers can avoid overfitting and outperform state-of-the-art CNNs on small datasets. Our models are flexible in terms of model size, and can have as little as 0.28M parameters while achieving competitive results. Our best model can reach 98% accuracy when training from scratch on CIFAR-10 with only 3.7M parameters, which is a significant improvement in data-efficiency over previous Transformer based models being over 10x smaller than other transformers and is 15% the size of ResNet50 while achieving similar performance. CCT also outperforms many modern CNN based approaches, and even some recent NAS-based approaches. Additionally, we obtain a new SOTA result on Flowers-102 with 99.76% top-1 accuracy, and improve upon the existing baseline on ImageNet (82.71% accuracy with 29% as many parameters as ViT), as well as NLP tasks. Our simple and compact design for transformers makes them more feasible to study for those with limited computing resources and/or dealing with small datasets, while extending existing research efforts in data efficient transformers. Our code and pre-trained models are publicly available at https://github.com/SHI-Labs/Compact-Transformers.","arXiv.org","2021","435","['Computer Science']","['JournalArticle']","2021-04-12","{'name': 'ArXiv', 'volume': 'abs/2104.05704'}","[{'authorId': '2855934', 'name': 'Ali Hassani'}, {'authorId': '102471415', 'name': 'Steven Walton'}, {'authorId': '2087066452', 'name': 'Nikhil Shah'}, {'authorId': '133551208', 'name': 'Abulikemu Abuduweili'}, {'authorId': '2125031571', 'name': 'Jiachen Li'}, {'authorId': '48667025', 'name': 'Humphrey Shi'}]"
"85328b4a8132bf4299f8cd7f8e79e850d561c8fc","{'id': '40d6d72b-fb7c-4fa0-98c0-2f72f340fed4', 'name': 'Iraqi Journal for Computers and Informatics', 'type': 'journal', 'alternate_names': ['Iraqi J Comput Informatics'], 'issn': '2313-190X', 'url': 'http://www.uoitc.edu.iq/ijci1/index.html', 'alternate_urls': ['http://ijci.uoitc.edu.iq/']}","Big Data Analytics: A Survey","Internet-based programs and communication techniques have become widely used and respected in the IT industry recently. A persistent source of ""big data,"" or data that is enormous in volume, diverse in type, and has a complicated multidimensional structure, is internet applications and communications. Today, several measures are routinely performed with no assurance that any of them will be helpful in understanding the phenomenon of interest in an era of automatic, large-scale data collection. Online transactions that involve buying, selling, or even investing are all examples of e-commerce. As a result, they generate data that has a complex structure and a high dimension. The usual data storage techniques cannot handle those enormous volumes of data. There is a lot of work being done to find ways to minimize the dimensionality of big data in order to provide analytics reports that are even more accurate and data visualizations that are more interesting. As a result, the purpose of this survey study is to give an overview of big data analytics along with related problems and issues that go beyond technology.","Iraqi Journal for Computers and Informatics","2022","403","","['JournalArticle', 'Review']","2022-06-11","{'name': 'Iraqi Journal for Computers and Informatics'}","[{'authorId': '2269971203', 'name': 'Wasnaa Kadhim Jawad'}, {'authorId': '2261850659', 'name': 'Abbas M. Al-Bakry'}]"
"41d4e093d5f7ed5aae1aaa9eb6c037742e4cf9b1","{'id': 'd60da343-ab92-4310-b3d7-2c0860287a9d', 'name': 'Journal of Big Data', 'type': 'journal', 'alternate_names': ['J Big Data', 'Journal on Big Data'], 'issn': '2196-1115', 'alternate_issns': ['2579-0048'], 'url': 'http://www.journalofbigdata.com/', 'alternate_urls': ['http://www.springer.com/computer/database+management+&+information+retrieval/journal/40537', 'http://techscience.com/JBD/index.html', 'https://journalofbigdata.springeropen.com', 'https://journalofbigdata.springeropen.com/']}","The use of Big Data Analytics in healthcare","","Journal of Big Data","2022","234","['Medicine', 'Computer Science']","['JournalArticle']","2022-01-06","{'name': 'Journal of Big Data', 'volume': '9'}","[{'authorId': '2416504', 'name': 'Kornelia M. Batko'}, {'authorId': '2079538975', 'name': 'A. Ślęzak'}]"
"cc017a62c605a0749e35a1264a46d62e78fb68b7","{'id': '2f5d0e8a-faad-4f10-b323-2b2e3c439a78', 'name': 'Lecture Notes in Computer Science', 'type': 'journal', 'alternate_names': ['LNCS', 'Transactions on Computational Systems Biology', 'Trans Comput Syst Biology', 'Lect Note Comput Sci'], 'issn': '0302-9743', 'alternate_issns': ['1861-2059', '1861-2075', '1866-4733'], 'url': 'http://www.springer.com/lncs', 'alternate_urls': ['http://www.springer.com/sgw/cda/frontpage/0,11855,1-164-2-73659-0,00.html', 'https://link.springer.com/bookseries/558', 'http://link.springer.com/search?query=""Transactions+on+Computational+Systems+Biology""']}","Big Data Analytics","","Lecture Notes in Computer Science","2019","1684","['Computer Science']","['JournalArticle', 'Book']","2019-05-15","{'name': 'Big Data'}","[{'authorId': '46251839', 'name': 'Arsalan Zahid Piprani'}, {'authorId': '2237403667', 'name': 'Amjad Ali'}, {'authorId': '2283455003', 'name': 'Adeel Shah'}]"
"1bc34cb22131554ba18f6ba9e6ede5beb42939f1","{'id': 'b4ddf99b-89f6-42b4-8bbc-9bde693530cf', 'name': 'International Journal of Information Management', 'type': 'journal', 'alternate_names': ['Int J Inf Manag'], 'issn': '0268-4012', 'url': 'http://www.elsevier.com/wps/find/journaldescription.cws_home/30434/description#description', 'alternate_urls': ['https://www.journals.elsevier.com/international-journal-of-information-management', 'http://www.sciencedirect.com/science/journal/02684012']}","Beyond the hype: Big data concepts, methods, and analytics","","International Journal of Information Management","2015","3550","['Computer Science']","['JournalArticle', 'Review']","2015-04-01","{'name': 'Int. J. Inf. Manag.', 'pages': '137-144', 'volume': '35'}","[{'authorId': '2348402835', 'name': 'Amir Gandomi'}, {'authorId': '39060992', 'name': 'Murtaza Haider'}]"
"4e6bba65f7636a655c778a3e54cc58e148468963","","CRITICAL QUESTIONS FOR BIG DATA","The era of Big Data has begun. Computer scientists, physicists, economists, mathematicians, political scientists, bio-informaticists, sociologists, and other scholars are clamoring for access to the massive quantities of information produced by and about people, things, and their interactions. Diverse groups argue about the potential benefits and costs of analyzing genetic sequences, social media interactions, health records, phone logs, government records, and other digital traces left by people. Significant questions emerge. Will large-scale search data help us create better tools, services, and public goods? Or will it usher in a new wave of privacy incursions and invasive marketing? Will data analytics help us understand online communities and political movements? Or will it be used to track protesters and suppress speech? Will it transform how we study human communication and culture, or narrow the palette of research options and alter what ‘research’ means? Given the rise of Big Data as a socio-technical phenomenon, we argue that it is necessary to critically interrogate its assumptions and biases. In this article, we offer six provocations to spark conversations about the issues of Big Data: a cultural, technological, and scholarly phenomenon that rests on the interplay of technology, analysis, and mythology that provokes extensive utopian and dystopian rhetoric.","","2012","3532","['Sociology']","","2012-05-25","{'name': 'Information, Communication & Society', 'pages': '662 - 679', 'volume': '15'}","[{'authorId': '38818867', 'name': 'D. Boyd'}, {'authorId': '48024382', 'name': 'K. Crawford'}]"
